--------------------------------------------------------------------------------
TIMESTAMP: 10:13:14.635 AM 26-Jun-2022
PARAMS:
  population 0
  wiggle-angle 45
  look-ahead 1
  sniff-threshold 0.9
  sniff-angle 45
  chemical-drop 3
  diffuse-share 1
  evaporation-rate 0.95
  cluster-threshold 25
  cluster-radius 10
  learning-turtles 50
  ticks-per-episode 500
  episodes 1500
  learning-rate 0.9
  discount-factor 0.1
  reward 100
  penalty -1
  e-greedy 0.5 0.9
ACTION SPACE: move-toward-chemical random-walk drop-chemical
OBSERVATION SPACE: chemical-here in-cluster
REWARD: rewardFunc6
--------------------------------------------------------------------------------
Episode, Tick, Avg cluster size X tick, Avg reward X episode, move-toward-chemical, random-walk, drop-chemical
1, 99, 0, 0, 1582, 1758, 1660
1, 199, 0, 0, 3156, 3371, 3473
1, 299, 27.142857142857142, 0, 4767, 4951, 5282
1, 399, 30.48148148148148, 0, 6342, 6611, 7047
1, 499, 28.25, 0, 7885, 8257, 8858
2, 599, 0, 0, 1690, 1589, 1721
2, 699, 0, 0, 3311, 3181, 3508
2, 799, 0, 0, 4857, 4782, 5361
2, 899, 0, 0, 6397, 6329, 7274
2, 999, 0, 0, 8001, 7967, 9032
3, 1099, 0, 0, 1570, 1691, 1739
3, 1199, 26.5, 0, 3173, 3284, 3543
3, 1299, 0, 0, 4797, 4864, 5339
3, 1399, 29.4, 0, 6357, 6333, 7310
3, 1499, 28, 0, 7931, 8010, 9059
4, 1599, 0, 0, 1660, 1631, 1709
4, 1699, 0, 0, 3240, 3360, 3400
4, 1799, 26, 0, 4874, 4999, 5127
4, 1899, 26, 0, 6561, 6550, 6889
4, 1999, 0, 0, 8222, 8085, 8693
5, 2099, 0, 0, 1716, 1562, 1722
5, 2199, 0, 0, 3329, 3144, 3527
5, 2299, 0, 0, 4947, 4704, 5349
5, 2399, 0, 0, 6645, 6270, 7085
5, 2499, 0, 0, 8178, 7820, 9002
6, 2599, 0, 0, 1790, 1439, 1771
6, 2699, 0, 0, 3282, 2980, 3738
6, 2799, 0, 0, 4869, 4532, 5599
6, 2899, 0, 0, 6551, 6121, 7328
6, 2999, 0, 0, 8159, 7657, 9184
7, 3099, 0, 0, 1492, 1562, 1946
7, 3199, 0, 0, 2954, 3127, 3919
7, 3299, 0, 0, 4522, 4723, 5755
7, 3399, 0, 0, 6065, 6214, 7721
7, 3499, 0, 0, 7595, 7783, 9622
8, 3599, 0, 0, 1574, 1622, 1804
8, 3699, 0, 0, 3036, 3181, 3783
8, 3799, 0, 0, 4639, 4903, 5458
8, 3899, 0, 0, 6141, 6483, 7376
8, 3999, 0, 0, 7616, 8055, 9329
9, 4099, 0, 0, 1605, 1659, 1736
9, 4199, 0, 0, 3079, 3313, 3608
9, 4299, 0, 0, 4616, 4825, 5559
9, 4399, 0, 0, 6140, 6325, 7535
9, 4499, 0, 0, 7766, 7657, 9577
10, 4599, 0, 0, 1515, 1615, 1870
10, 4699, 0, 0, 3111, 3068, 3821
10, 4799, 0, 0, 4741, 4489, 5770
10, 4899, 0, 0, 6306, 5966, 7728
10, 4999, 0, 0, 7839, 7479, 9682
11, 5099, 0, 0, 1397, 1697, 1906
11, 5199, 0, 0, 2985, 3245, 3770
11, 5299, 0, 0, 4671, 4611, 5718
11, 5399, 0, 0, 6035, 6118, 7847
11, 5499, 0, 0, 7481, 7629, 9890
12, 5599, 0, 0, 1488, 1465, 2047
12, 5699, 0, 0, 2890, 2941, 4169
12, 5799, 0, 0, 4394, 4421, 6185
12, 5899, 0, 0, 5862, 6041, 8097
12, 5999, 0, 0, 7385, 7566, 10049
13, 6099, 0, 0, 1665, 1238, 2097
13, 6199, 0, 0, 3135, 2685, 4180
13, 6299, 0, 0, 4871, 4225, 5904
13, 6399, 0, 0, 6407, 5637, 7956
13, 6499, 0, 0, 7766, 7074, 10160
14, 6599, 0, 0, 1375, 1533, 2092
14, 6699, 0, 0, 2788, 3066, 4146
14, 6799, 0, 0, 4303, 4347, 6350
14, 6899, 0, 0, 5696, 5822, 8482
14, 6999, 0, 0, 7258, 7156, 10586
15, 7099, 0, 0, 1389, 1439, 2172
15, 7199, 0, 0, 3037, 2757, 4206
15, 7299, 0, 0, 4464, 4130, 6406
15, 7399, 0, 0, 6092, 5463, 8445
15, 7499, 0, 0, 7631, 6854, 10515
16, 7599, 0, 0, 1500, 1416, 2084
16, 7699, 0, 0, 2875, 2743, 4382
16, 7799, 0, 0, 4405, 3896, 6699
16, 7899, 0, 0, 6028, 5358, 8614
16, 7999, 0, 0, 7550, 6652, 10798
17, 8099, 0, 0, 1381, 1532, 2087
17, 8199, 0, 0, 3023, 2999, 3978
17, 8299, 0, 0, 4656, 4309, 6035
17, 8399, 0, 0, 6256, 5440, 8304
17, 8499, 0, 0, 7712, 6947, 10341
18, 8599, 0, 0, 1323, 1256, 2421
18, 8699, 0, 0, 2611, 2441, 4948
18, 8799, 0, 0, 4206, 3584, 7210
18, 8899, 0, 0, 5928, 4715, 9357
18, 8999, 0, 0, 7623, 5766, 11611
19, 9099, 0, 0, 1436, 1380, 2184
19, 9199, 0, 0, 2872, 2690, 4438
19, 9299, 0, 0, 3999, 3917, 7084
19, 9399, 0, 0, 5326, 5291, 9383
19, 9499, 0, 0, 6746, 6680, 11574
20, 9599, 0, 0, 1625, 1558, 1817
20, 9699, 0, 0, 3130, 2958, 3912
20, 9799, 0, 0, 4556, 4171, 6273
20, 9899, 0, 0, 5794, 5361, 8845
20, 9999, 0, 0, 7086, 6847, 11067
21, 10099, 0, 0, 1577, 1406, 2017
21, 10199, 0, 0, 3077, 2557, 4366
21, 10299, 0, 0, 4409, 3675, 6916
21, 10399, 0, 0, 5934, 4431, 9635
21, 10499, 0, 0, 7495, 5366, 12139
22, 10599, 0, 0, 1619, 1409, 1972
22, 10699, 0, 0, 2588, 2561, 4851
22, 10799, 0, 0, 3786, 3576, 7638
22, 10899, 0, 0, 5238, 4863, 9899
22, 10999, 0, 0, 6962, 5974, 12064
23, 11099, 0, 0, 1552, 1143, 2305
23, 11199, 0, 0, 3041, 2290, 4669
23, 11299, 0, 0, 4630, 3304, 7066
23, 11399, 0, 0, 6055, 4388, 9557
23, 11499, 0, 0, 7592, 5505, 11903
24, 11599, 0, 0, 1519, 1143, 2338
24, 11699, 0, 0, 2755, 2213, 5032
24, 11799, 0, 0, 4175, 3235, 7590
24, 11899, 0, 0, 5470, 4511, 10019
24, 11999, 0, 0, 6951, 5846, 12203
25, 12099, 0, 0, 1461, 1326, 2213
25, 12199, 0, 0, 2746, 2505, 4749
25, 12299, 0, 0, 4288, 3676, 7036
25, 12399, 0, 0, 5956, 4745, 9299
25, 12499, 0, 0, 7667, 5903, 11430
26, 12599, 0, 0, 1555, 1389, 2056
26, 12699, 0, 0, 2928, 2524, 4548
26, 12799, 0, 0, 4102, 3427, 7471
26, 12899, 0, 0, 5278, 4030, 10692
26, 12999, 0, 0, 6863, 4927, 13210
27, 13099, 0, 0, 1790, 1326, 1884
27, 13199, 0, 0, 3336, 2433, 4231
27, 13299, 0, 0, 4662, 3612, 6726
27, 13399, 0, 0, 6102, 5034, 8864
27, 13499, 0, 0, 7353, 6144, 11503
28, 13599, 0, 0, 1044, 1130, 2826
28, 13699, 0, 0, 1941, 2138, 5921
28, 13799, 0, 0, 3258, 2992, 8750
28, 13899, 0, 0, 4423, 3721, 11856
28, 13999, 0, 0, 5687, 4312, 15001
29, 14099, 0, 0, 1598, 1016, 2386
29, 14199, 0, 0, 2727, 2209, 5064
29, 14299, 0, 0, 4019, 3331, 7650
29, 14399, 0, 0, 5504, 4586, 9910
29, 14499, 0, 0, 6817, 5763, 12420
30, 14599, 0, 0, 1749, 1060, 2191
30, 14699, 0, 0, 3448, 2069, 4483
30, 14799, 0, 0, 5242, 3096, 6662
30, 14899, 0, 0, 7018, 3796, 9186
30, 14999, 0, 0, 8794, 4568, 11638
31, 15099, 0, 0, 1679, 1133, 2188
31, 15199, 0, 0, 3168, 2133, 4699
31, 15299, 0, 0, 4641, 3056, 7303
31, 15399, 0, 0, 5832, 4096, 10072
31, 15499, 0, 0, 7093, 5205, 12702
32, 15599, 0, 0, 1598, 1253, 2149
32, 15699, 0, 0, 3248, 2258, 4494
32, 15799, 0, 0, 5056, 3176, 6768
32, 15899, 0, 0, 6558, 4060, 9382
32, 15999, 0, 0, 8440, 4891, 11669
33, 16099, 0, 0, 1533, 1029, 2438
33, 16199, 0, 0, 2812, 1954, 5234
33, 16299, 0, 0, 3882, 2788, 8330
33, 16399, 0, 0, 4953, 3798, 11249
33, 16499, 0, 0, 6245, 4523, 14232
34, 16599, 0, 0, 2000, 889, 2111
34, 16699, 0, 0, 3718, 1869, 4413
34, 16799, 0, 0, 5456, 2994, 6550
34, 16899, 0, 0, 6869, 4140, 8991
34, 16999, 0, 0, 8170, 4992, 11838
35, 17099, 0, 0, 1611, 1285, 2104
35, 17199, 0, 0, 2865, 2353, 4782
35, 17299, 0, 0, 4208, 3243, 7549
35, 17399, 0, 0, 5919, 4121, 9960
35, 17499, 0, 0, 7598, 5282, 12120
36, 17599, 0, 0, 1727, 1085, 2188
36, 17699, 0, 0, 3089, 2206, 4705
36, 17799, 0, 0, 4360, 3096, 7544
36, 17899, 0, 0, 5650, 3882, 10468
36, 17999, 0, 0, 7276, 4678, 13046
37, 18099, 0, 0, 2100, 605, 2295
37, 18199, 0, 0, 3405, 1198, 5397
37, 18299, 0, 0, 4551, 2052, 8397
37, 18399, 0, 0, 5889, 2969, 11142
37, 18499, 0, 0, 7183, 3971, 13846
38, 18599, 0, 0, 1884, 1045, 2071
38, 18699, 0, 0, 3607, 2029, 4364
38, 18799, 0, 0, 5233, 2880, 6887
38, 18899, 0, 0, 6609, 3559, 9832
38, 18999, 0, 0, 7996, 4161, 12843
39, 19099, 0, 0, 2244, 782, 1974
39, 19199, 0, 0, 4216, 1336, 4448
39, 19299, 0, 0, 5786, 2215, 6999
39, 19399, 0, 0, 6737, 3248, 10015
39, 19499, 0, 0, 7997, 4111, 12892
40, 19599, 0, 0, 1445, 915, 2640
40, 19699, 0, 0, 2829, 1660, 5511
40, 19799, 0, 0, 4342, 2380, 8278
40, 19899, 0, 0, 6037, 3192, 10771
40, 19999, 0, 0, 7630, 4094, 13276
41, 20099, 0, 0, 1424, 1128, 2448
