--------------------------------------------------------------------------------
TIMESTAMP: 10:15:09.592 PM 24-Jun-2022
PARAMS:
  population 0
  wiggle-angle 45
  look-ahead 1
  sniff-threshold 0.9
  sniff-angle 45
  chemical-drop 3
  diffuse-share 1
  evaporation-rate 0.95
  cluster-threshold 25
  cluster-radius 10
  learning-turtles 50
  ticks-per-episode 500
  episodes 1500
  learning-rate 0.1
  discount-factor 0.9
  reward 100
  penalty -1
  e-greedy 0.5 0.9
ACTION SPACE: move-toward-chemical random-walk drop-chemical
OBSERVATION SPACE: chemical-here in-cluster
REWARD: rewardFunc6
--------------------------------------------------------------------------------
Episode, Tick, Avg cluster size X tick, Avg reward X episode, move-toward-chemical, random-walk, drop-chemical
1, 99, 0, 0, 1750, 1440, 1810
1, 199, 0, 0, 3556, 2771, 3673
1, 299, 27, 0, 5206, 4187, 5607
1, 399, 27.4, 0, 6853, 5656, 7491
1, 499, 27.5, 0, 8585, 7079, 9336
2, 599, 0, 0, 1787, 1621, 1592
2, 699, 0, 0, 3429, 3357, 3214
2, 799, 28, 0, 4949, 4961, 5090
2, 899, 27.4, 0, 6617, 6393, 6990
2, 999, 31.125, 0, 8163, 7941, 8896
3, 1099, 0, 0, 1773, 1582, 1645
3, 1199, 0, 0, 3490, 3122, 3388
3, 1299, 0, 0, 5198, 4674, 5128
3, 1399, 0, 0, 6691, 6260, 7049
3, 1499, 0, 0, 8260, 7852, 8888
4, 1599, 0, 0, 1837, 1424, 1739
4, 1699, 0, 0, 3430, 2974, 3596
4, 1799, 0, 0, 4802, 4504, 5694
4, 1899, 0, 0, 6197, 6000, 7803
4, 1999, 0, 0, 7848, 7423, 9729
5, 2099, 0, 0, 1986, 1365, 1649
5, 2199, 26.166666666666668, 0, 3609, 2807, 3584
5, 2299, 0, 0, 5282, 4040, 5678
5, 2399, 26.857142857142858, 0, 6823, 5271, 7906
5, 2499, 26, 0, 8467, 6620, 9913
6, 2599, 0, 0, 2095, 1373, 1532
6, 2699, 28.470588235294116, 0, 3674, 2805, 3521
6, 2799, 28.933333333333334, 0, 4947, 4098, 5955
6, 2899, 28.615384615384617, 0, 6220, 5302, 8478
6, 2999, 28.9, 0, 7713, 6539, 10748
7, 3099, 0, 0, 1949, 1282, 1769
7, 3199, 0, 0, 3665, 2792, 3543
7, 3299, 26, 0, 5443, 4257, 5300
7, 3399, 28.818181818181817, 0, 7035, 5784, 7181
7, 3499, 28, 0, 8738, 7220, 9042
8, 3599, 0, 0, 1866, 1486, 1648
8, 3699, 0, 0, 3480, 2958, 3562
8, 3799, 0, 0, 5088, 4339, 5573
8, 3899, 27, 0, 6466, 5655, 7879
8, 3999, 28.333333333333332, 0, 7932, 6871, 10197
9, 4099, 0, 0, 1628, 1279, 2093
9, 4199, 0, 0, 3163, 2657, 4180
9, 4299, 0, 0, 4756, 3788, 6456
9, 4399, 26.833333333333332, 0, 6364, 4888, 8748
9, 4499, 29, 0, 7746, 6078, 11176
10, 4599, 0, 0, 1835, 1285, 1880
10, 4699, 0, 0, 3658, 2698, 3644
10, 4799, 0, 0, 5306, 4203, 5491
10, 4899, 26, 0, 6955, 5499, 7546
10, 4999, 0, 0, 8829, 6658, 9513
11, 5099, 0, 0, 1935, 1245, 1820
11, 5199, 28.333333333333332, 0, 3432, 2492, 4076
11, 5299, 26.7, 0, 4991, 3747, 6262
11, 5399, 28.8, 0, 6746, 4798, 8456
11, 5499, 26, 0, 8597, 5923, 10480
12, 5599, 0, 0, 2136, 1200, 1664
12, 5699, 0, 0, 4032, 2558, 3410
12, 5799, 27.166666666666668, 0, 5812, 3848, 5340
12, 5899, 27.555555555555557, 0, 7574, 5162, 7264
12, 5999, 29, 0, 9186, 6482, 9332
13, 6099, 0, 0, 1999, 1113, 1888
13, 6199, 0, 0, 3815, 2250, 3935
13, 6299, 26.692307692307693, 0, 5628, 3414, 5958
13, 6399, 28.2, 0, 7275, 4700, 8025
13, 6499, 29.5, 0, 8857, 6024, 10119
14, 6599, 0, 0, 2210, 1137, 1653
14, 6699, 0, 0, 3986, 2324, 3690
14, 6799, 26, 0, 5649, 3366, 5985
14, 6899, 0, 0, 7536, 4165, 8299
14, 6999, 0, 0, 9106, 5059, 10835
15, 7099, 0, 0, 2044, 1233, 1723
15, 7199, 0, 0, 3948, 2497, 3555
15, 7299, 0, 0, 5487, 3683, 5830
15, 7399, 26.333333333333332, 0, 6764, 4754, 8482
15, 7499, 0, 0, 8266, 5749, 10985
16, 7599, 0, 0, 1979, 1112, 1909
16, 7699, 0, 0, 3756, 2509, 3735
16, 7799, 0, 0, 5317, 3556, 6127
16, 7899, 26.666666666666668, 0, 6870, 4592, 8538
16, 7999, 0, 0, 8508, 5533, 10959
17, 8099, 0, 0, 1958, 1058, 1984
17, 8199, 0, 0, 3819, 2032, 4149
17, 8299, 26, 0, 5797, 2792, 6411
17, 8399, 26, 0, 7642, 3761, 8597
17, 8499, 0, 0, 9630, 4453, 10917
18, 8599, 0, 0, 2287, 1119, 1594
18, 8699, 0, 0, 4302, 2365, 3333
18, 8799, 0, 0, 6394, 3341, 5265
18, 8899, 27.7, 0, 8352, 4275, 7373
18, 8999, 28.666666666666668, 0, 10305, 5263, 9432
19, 9099, 0, 0, 2381, 1009, 1610
19, 9199, 26, 0, 4189, 2269, 3542
19, 9299, 27.714285714285715, 0, 5757, 3534, 5709
19, 9399, 26, 0, 7364, 4652, 7984
19, 9499, 0, 0, 9259, 5630, 10111
20, 9599, 0, 0, 2342, 965, 1693
20, 9699, 28.571428571428573, 0, 4256, 2183, 3561
20, 9799, 28.9375, 0, 5774, 3274, 5952
20, 9899, 27.714285714285715, 0, 7673, 4563, 7764
20, 9999, 30, 0, 9586, 5935, 9479
21, 10099, 0, 0, 2209, 1175, 1616
21, 10199, 27, 0, 3895, 2426, 3679
21, 10299, 30, 0, 5345, 3650, 6005
21, 10399, 31.333333333333332, 0, 6969, 4681, 8350
21, 10499, 0, 0, 8531, 5668, 10801
22, 10599, 0, 0, 2015, 1030, 1955
22, 10699, 0, 0, 3833, 2497, 3670
22, 10799, 0, 0, 5578, 3671, 5751
22, 10899, 28, 0, 7177, 4787, 8036
22, 10999, 0, 0, 8743, 5753, 10504
23, 11099, 0, 0, 1692, 1064, 2244
23, 11199, 27, 0, 3188, 2298, 4514
23, 11299, 28.5, 0, 4559, 3552, 6889
23, 11399, 28, 0, 5476, 4733, 9791
23, 11499, 0, 0, 6814, 5734, 12452
24, 11599, 0, 0, 1646, 1065, 2289
24, 11699, 0, 0, 3537, 2322, 4141
24, 11799, 26.5, 0, 5261, 3563, 6176
24, 11899, 0, 0, 6671, 4761, 8568
24, 11999, 0, 0, 8210, 5823, 10967
25, 12099, 0, 0, 1923, 1193, 1884
25, 12199, 0, 0, 3679, 2379, 3942
25, 12299, 0, 0, 5284, 3566, 6150
25, 12399, 26, 0, 7211, 4608, 8181
25, 12499, 27.666666666666668, 0, 9273, 5511, 10216
26, 12599, 0, 0, 1973, 936, 2091
26, 12699, 0, 0, 3594, 1950, 4456
26, 12799, 0, 0, 5157, 2727, 7116
26, 12899, 26, 0, 6823, 3447, 9730
26, 12999, 0, 0, 8409, 4204, 12387
27, 13099, 0, 0, 1824, 854, 2322
27, 13199, 0, 0, 3663, 1782, 4555
27, 13299, 0, 0, 5377, 2791, 6832
27, 13399, 0, 0, 7235, 3778, 8987
27, 13499, 0, 0, 9316, 4467, 11217
28, 13599, 0, 0, 1893, 1042, 2065
28, 13699, 0, 0, 3611, 2591, 3798
28, 13799, 26, 0, 5342, 4117, 5541
28, 13899, 0, 0, 6867, 5466, 7667
28, 13999, 0, 0, 8728, 6519, 9753
29, 14099, 0, 0, 1869, 1218, 1913
29, 14199, 0, 0, 3972, 2480, 3548
29, 14299, 0, 0, 5925, 3550, 5525
29, 14399, 26, 0, 7911, 4546, 7543
29, 14499, 0, 0, 9875, 5520, 9605
30, 14599, 0, 0, 2250, 956, 1794
30, 14699, 0, 0, 4319, 2071, 3610
30, 14799, 28, 0, 6170, 3172, 5658
30, 14899, 27.666666666666668, 0, 7786, 4289, 7925
30, 14999, 0, 0, 9256, 5314, 10430
31, 15099, 0, 0, 1987, 1098, 1915
31, 15199, 0, 0, 3785, 2086, 4129
31, 15299, 0, 0, 5333, 3039, 6628
31, 15399, 26, 0, 6894, 3967, 9139
31, 15499, 0, 0, 8396, 4900, 11704
32, 15599, 0, 0, 1667, 969, 2364
32, 15699, 0, 0, 3402, 2083, 4515
32, 15799, 0, 0, 5259, 2888, 6853
32, 15899, 0, 0, 7232, 3499, 9269
32, 15999, 0, 0, 9299, 4059, 11642
33, 16099, 0, 0, 1880, 1159, 1961
33, 16199, 0, 0, 3328, 2306, 4366
33, 16299, 0, 0, 4446, 3207, 7347
33, 16399, 28, 0, 5600, 4037, 10363
33, 16499, 26, 0, 6797, 4912, 13291
34, 16599, 0, 0, 1623, 805, 2572
34, 16699, 0, 0, 2708, 1558, 5734
34, 16799, 0, 0, 3737, 2291, 8972
34, 16899, 0, 0, 4704, 3042, 12254
34, 16999, 0, 0, 5780, 3769, 15451
35, 17099, 0, 0, 1744, 973, 2283
35, 17199, 0, 0, 3145, 1903, 4952
35, 17299, 0, 0, 4463, 2710, 7827
35, 17399, 26, 0, 5660, 3523, 10817
35, 17499, 0, 0, 6936, 4449, 13615
36, 17599, 0, 0, 1800, 925, 2275
36, 17699, 0, 0, 3683, 1885, 4432
36, 17799, 26, 0, 5482, 2694, 6824
36, 17899, 29.285714285714285, 0, 7114, 3515, 9371
36, 17999, 0, 0, 8641, 4207, 12152
37, 18099, 0, 0, 2027, 858, 2115
37, 18199, 0, 0, 4061, 1764, 4175
37, 18299, 26.75, 0, 6104, 2584, 6312
37, 18399, 0, 0, 7994, 3517, 8489
37, 18499, 0, 0, 9886, 4442, 10672
38, 18599, 0, 0, 2159, 841, 2000
38, 18699, 26.2, 0, 4265, 2035, 3700
38, 18799, 29.214285714285715, 0, 5893, 3392, 5715
38, 18899, 27.333333333333332, 0, 7537, 4729, 7734
38, 18999, 27.4, 0, 9273, 5982, 9745
39, 19099, 0, 0, 2092, 1096, 1812
39, 19199, 0, 0, 4104, 2454, 3442
39, 19299, 0, 0, 5878, 3761, 5361
39, 19399, 0, 0, 7720, 4804, 7476
39, 19499, 0, 0, 9458, 5635, 9907
40, 19599, 0, 0, 2197, 851, 1952
40, 19699, 26.333333333333332, 0, 4208, 1963, 3829
40, 19799, 27, 0, 6049, 3006, 5945
40, 19899, 29, 0, 7732, 3981, 8287
40, 19999, 0, 0, 9493, 4854, 10653
41, 20099, 0, 0, 2297, 801, 1902
41, 20199, 0, 0, 4220, 1998, 3782
41, 20299, 0, 0, 5754, 3210, 6036
41, 20399, 0, 0, 7542, 4300, 8158
41, 20499, 0, 0, 9325, 5560, 10115
42, 20599, 0, 0, 2198, 1090, 1712
42, 20699, 0, 0, 4125, 2460, 3415
42, 20799, 0, 0, 5926, 3866, 5208
42, 20899, 0, 0, 7735, 5182, 7083
42, 20999, 0, 0, 9300, 6561, 9139
43, 21099, 0, 0, 1927, 1046, 2027
43, 21199, 0, 0, 3324, 2431, 4245
43, 21299, 0, 0, 4834, 3883, 6283
43, 21399, 0, 0, 6615, 5231, 8154
43, 21499, 0, 0, 8319, 6548, 10133
44, 21599, 0, 0, 2024, 1034, 1942
44, 21699, 0, 0, 4280, 2155, 3565
44, 21799, 27, 0, 6272, 3501, 5227
44, 21899, 27.5, 0, 7948, 5061, 6991
44, 21999, 0, 0, 9597, 6615, 8788
45, 22099, 0, 0, 2110, 1021, 1869
45, 22199, 0, 0, 3972, 2378, 3650
45, 22299, 0, 0, 5832, 3697, 5471
45, 22399, 27, 0, 7414, 5206, 7380
45, 22499, 26, 0, 8704, 6766, 9530
46, 22599, 0, 0, 1942, 1059, 1999
46, 22699, 0, 0, 4314, 2092, 3594
46, 22799, 0, 0, 6823, 3074, 5103
46, 22899, 0, 0, 8931, 4197, 6872
46, 22999, 0, 0, 10892, 5216, 8892
47, 23099, 0, 0, 2188, 712, 2100
47, 23199, 0, 0, 4145, 1682, 4173
47, 23299, 0, 0, 5956, 2569, 6475
47, 23399, 0, 0, 7714, 3509, 8777
47, 23499, 0, 0, 9404, 4572, 11024
48, 23599, 0, 0, 2177, 1000, 1823
48, 23699, 0, 0, 4282, 2184, 3534
48, 23799, 0, 0, 6318, 3435, 5247
48, 23899, 0, 0, 8352, 4632, 7016
48, 23999, 0, 0, 10341, 5788, 8871
49, 24099, 0, 0, 2258, 1015, 1727
49, 24199, 0, 0, 4483, 2130, 3387
49, 24299, 0, 0, 6608, 3284, 5108
49, 24399, 0, 0, 8458, 4318, 7224
49, 24499, 0, 0, 10194, 5468, 9338
50, 24599, 0, 0, 2151, 1008, 1841
50, 24699, 0, 0, 4073, 2253, 3674
50, 24799, 0, 0, 5955, 3540, 5505
50, 24899, 0, 0, 7892, 4807, 7301
50, 24999, 0, 0, 9782, 6114, 9104
51, 25099, 0, 0, 2284, 1039, 1677
51, 25199, 0, 0, 4425, 2181, 3394
51, 25299, 0, 0, 6258, 3564, 5178
51, 25399, 0, 0, 8109, 4986, 6905
51, 25499, 0, 0, 10123, 6377, 8500
52, 25599, 0, 0, 2332, 1298, 1370
52, 25699, 0, 0, 4569, 2794, 2637
52, 25799, 0, 0, 6822, 4263, 3915
52, 25899, 0, 0, 8922, 5971, 5107
52, 25999, 0, 0, 11237, 7514, 6249
53, 26099, 0, 0, 2216, 1784, 1000
53, 26199, 0, 0, 4231, 3517, 2252
53, 26299, 0, 0, 6347, 4986, 3667
53, 26399, 0, 0, 8291, 6475, 5234
53, 26499, 0, 0, 10191, 7968, 6841
54, 26599, 0, 0, 2057, 1386, 1557
54, 26699, 0, 0, 3841, 2875, 3284
54, 26799, 0, 0, 5420, 4523, 5057
54, 26899, 0, 0, 7027, 6019, 6954
54, 26999, 0, 0, 8527, 7541, 8932
55, 27099, 0, 0, 1804, 1456, 1740
55, 27199, 0, 0, 3570, 3000, 3430
55, 27299, 0, 0, 5354, 4530, 5116
55, 27399, 0, 0, 6904, 6213, 6883
55, 27499, 0, 0, 8378, 7918, 8704
56, 27599, 0, 0, 1827, 1360, 1813
56, 27699, 0, 0, 3327, 2881, 3792
56, 27799, 0, 0, 4917, 4373, 5710
56, 27899, 0, 0, 6404, 5865, 7731
56, 27999, 0, 0, 7814, 7310, 9876
57, 28099, 0, 0, 1831, 1172, 1997
57, 28199, 0, 0, 3665, 2415, 3920
57, 28299, 0, 0, 5304, 3805, 5891
57, 28399, 0, 0, 6939, 5092, 7969
57, 28499, 0, 0, 8665, 6350, 9985
58, 28599, 0, 0, 2112, 1042, 1846
58, 28699, 0, 0, 4176, 2225, 3599
58, 28799, 0, 0, 6137, 3469, 5394
58, 28899, 0, 0, 8124, 4744, 7132
58, 28999, 0, 0, 10269, 5934, 8797
59, 29099, 0, 0, 2275, 1070, 1655
59, 29199, 0, 0, 4463, 2227, 3310
59, 29299, 0, 0, 6592, 3387, 5021
59, 29399, 0, 0, 8872, 4540, 6588
59, 29499, 0, 0, 11196, 5704, 8100
60, 29599, 0, 0, 2305, 1074, 1621
60, 29699, 0, 0, 4554, 2232, 3214
60, 29799, 0, 0, 7047, 3281, 4672
60, 29899, 0, 0, 9524, 4284, 6192
60, 29999, 0, 0, 11810, 5174, 8016
61, 30099, 0, 0, 2402, 818, 1780
61, 30199, 0, 0, 4804, 1666, 3530
61, 30299, 0, 0, 7052, 2598, 5350
61, 30399, 0, 0, 9281, 3530, 7189
61, 30499, 0, 0, 11488, 4413, 9099
62, 30599, 0, 0, 2265, 1095, 1640
62, 30699, 0, 0, 4769, 1927, 3304
62, 30799, 0, 0, 7168, 2688, 5144
62, 30899, 0, 0, 9551, 3443, 7006
62, 30999, 0, 0, 11899, 4227, 8874
63, 31099, 0, 0, 2219, 1066, 1715
63, 31199, 0, 0, 4434, 2159, 3407
