--------------------------------------------------------------------------------
TIMESTAMP: 08:59:35.899 AM 30-Jun-2022
PARAMS:
  population 0
  wiggle-angle 45
  look-ahead 1
  sniff-threshold 0.9
  sniff-angle 45
  chemical-drop 3
  diffuse-share 1
  evaporation-rate 0.95
  cluster-threshold 25
  cluster-radius 10
  learning-turtles 50
  ticks-per-episode 500
  episodes 1500
  learning-rate 0.1
  discount-factor 0.9
  reward 100
  penalty -1
  e-greedy 0.5 0.9
ACTION SPACE: move-toward-chemical random-walk drop-chemical
OBSERVATION SPACE: chemical-here in-cluster
REWARD: rewardFunc8
--------------------------------------------------------------------------------
Episode, Tick, Avg cluster size X tick, Avg reward X episode, move-toward-chemical, random-walk, drop-chemical
23, 11399, 0, 0, 6115, 5443, 8442
23, 11499, 0, 0, 7521, 6561, 10918
24, 11599, 0, 0, 2161, 1234, 1605
24, 11699, 0, 0, 4328, 2801, 2871
24, 11799, 26, 0, 6036, 3938, 5026
24, 11899, 30.333333333333332, 0, 7758, 5008, 7234
24, 11999, 28.75, 0, 9232, 5953, 9815
25, 12099, 0, 0, 2184, 1049, 1767
25, 12199, 29.77777777777778, 0, 3688, 2157, 4155
25, 12299, 31.59090909090909, 0, 4708, 3297, 6995
25, 12399, 30.36842105263158, 0, 6018, 4248, 9734
25, 12499, 26, 0, 7470, 5179, 12351
26, 12599, 0, 0, 2395, 989, 1616
26, 12699, 0, 0, 4802, 2001, 3197
26, 12799, 0, 0, 7108, 2918, 4974
26, 12899, 0, 0, 9466, 3836, 6698
26, 12999, 0, 0, 11851, 4778, 8371
27, 13099, 0, 0, 2319, 1087, 1594
27, 13199, 28.166666666666668, 0, 4505, 2380, 3115
27, 13299, 29.38888888888889, 0, 6004, 3646, 5350
27, 13399, 30.043478260869566, 0, 7234, 4934, 7832
27, 13499, 27.5, 0, 8544, 6025, 10431
28, 13599, 0, 0, 2392, 954, 1654
28, 13699, 0, 0, 4534, 1912, 3554
28, 13799, 28.181818181818183, 0, 6050, 2876, 6074
28, 13899, 33, 0, 7391, 4004, 8605
28, 13999, 33, 0, 8605, 4940, 11455
29, 14099, 0, 0, 2152, 1148, 1700
29, 14199, 0, 0, 3810, 2659, 3531
29, 14299, 0, 0, 5236, 3789, 5975
29, 14399, 0, 0, 6875, 4719, 8406
29, 14499, 0, 0, 8475, 5633, 10892
30, 14599, 0, 0, 2053, 909, 2038
30, 14699, 26, 0, 3934, 2157, 3909
30, 14799, 26.666666666666668, 0, 5018, 3386, 6596
30, 14899, 29.956521739130434, 0, 6250, 4301, 9449
30, 14999, 30, 0, 7437, 5255, 12308
31, 15099, 0, 0, 1765, 1436, 1799
31, 15199, 0, 0, 3569, 3065, 3366
31, 15299, 0, 0, 5507, 4589, 4904
31, 15399, 26, 0, 7558, 6092, 6350
31, 15499, 28, 0, 9554, 7404, 8042
32, 15599, 0, 0, 2097, 1302, 1601
32, 15699, 27.8125, 0, 4064, 2429, 3507
32, 15799, 30.647058823529413, 0, 5328, 3115, 6557
32, 15899, 30.8, 0, 6748, 3837, 9415
32, 15999, 27, 0, 8327, 4570, 12103
33, 16099, 0, 0, 2079, 1001, 1920
33, 16199, 0, 0, 4170, 2057, 3773
33, 16299, 0, 0, 6169, 2986, 5845
33, 16399, 0, 0, 8082, 3758, 8160
33, 16499, 27.5, 0, 9905, 4517, 10578
34, 16599, 0, 0, 2367, 659, 1974
34, 16699, 0, 0, 4365, 1593, 4042
34, 16799, 26, 0, 6116, 2340, 6544
34, 16899, 28.625, 0, 7736, 2951, 9313
34, 16999, 0, 0, 9074, 3411, 12515
35, 17099, 0, 0, 1939, 618, 2443
35, 17199, 0, 0, 3879, 1518, 4603
35, 17299, 27.181818181818183, 0, 5829, 2472, 6699
35, 17399, 26.5, 0, 7715, 3439, 8846
35, 17499, 0, 0, 9575, 4441, 10984
36, 17599, 0, 0, 2173, 955, 1872
36, 17699, 0, 0, 4415, 1882, 3703
36, 17799, 0, 0, 6718, 2763, 5519
36, 17899, 0, 0, 8876, 3681, 7443
36, 17999, 0, 0, 10886, 4684, 9430
37, 18099, 0, 0, 2012, 919, 2069
37, 18199, 0, 0, 4051, 1935, 4014
37, 18299, 0, 0, 6385, 2837, 5778
37, 18399, 0, 0, 8930, 3514, 7556
37, 18499, 0, 0, 11280, 4224, 9496
38, 18599, 0, 0, 2240, 1067, 1693
38, 18699, 0, 0, 4205, 2239, 3556
38, 18799, 0, 0, 6323, 3104, 5573
38, 18899, 0, 0, 8710, 3612, 7678
38, 18999, 0, 0, 10932, 4098, 9970
39, 19099, 0, 0, 2190, 553, 2257
39, 19199, 0, 0, 4273, 1351, 4376
39, 19299, 0, 0, 6274, 2097, 6629
39, 19399, 0, 0, 8209, 2828, 8963
39, 19499, 0, 0, 10089, 3576, 11335
40, 19599, 0, 0, 1907, 855, 2238
40, 19699, 0, 0, 3726, 1970, 4304
40, 19799, 0, 0, 5430, 2780, 6790
40, 19899, 0, 0, 7189, 3569, 9242
40, 19999, 30, 0, 9018, 4257, 11725
41, 20099, 0, 0, 2013, 782, 2205
41, 20199, 0, 0, 3866, 1691, 4443
41, 20299, 0, 0, 5854, 2543, 6603
41, 20399, 0, 0, 7912, 3257, 8831
41, 20499, 0, 0, 9913, 3960, 11127
42, 20599, 0, 0, 2263, 672, 2065
42, 20699, 30, 0, 4419, 1573, 4008
42, 20799, 29.625, 0, 6319, 2567, 6114
42, 20899, 31, 0, 8134, 3543, 8323
42, 20999, 31, 0, 9635, 4463, 10902
43, 21099, 0, 0, 2095, 972, 1933
43, 21199, 0, 0, 4027, 2017, 3956
43, 21299, 0, 0, 6024, 2907, 6069
43, 21399, 0, 0, 7967, 3721, 8312
43, 21499, 0, 0, 9972, 4545, 10483
44, 21599, 0, 0, 1963, 899, 2138
44, 21699, 0, 0, 4191, 1691, 4118
44, 21799, 0, 0, 6230, 2498, 6272
44, 21899, 0, 0, 8289, 3275, 8436
44, 21999, 0, 0, 10354, 4127, 10519
45, 22099, 0, 0, 2067, 921, 2012
45, 22199, 0, 0, 3748, 2000, 4252
45, 22299, 0, 0, 5497, 2877, 6626
45, 22399, 0, 0, 7053, 3932, 9015
45, 22499, 0, 0, 8675, 4845, 11480
46, 22599, 0, 0, 1735, 1135, 2130
46, 22699, 0, 0, 3321, 2412, 4267
46, 22799, 0, 0, 4507, 3748, 6745
46, 22899, 0, 0, 5511, 4908, 9581
46, 22999, 0, 0, 6565, 6077, 12358
47, 23099, 0, 0, 1707, 1159, 2134
47, 23199, 0, 0, 3045, 2423, 4532
47, 23299, 0, 0, 4244, 3671, 7085
47, 23399, 26.666666666666668, 0, 5492, 4820, 9688
47, 23499, 0, 0, 6790, 5916, 12294
48, 23599, 0, 0, 1780, 895, 2325
48, 23699, 0, 0, 3549, 2061, 4390
48, 23799, 0, 0, 5461, 3322, 6217
