--------------------------------------------------------------------------------
TIMESTAMP: 09:05:01.366 AM 28-Jun-2022
PARAMS:
  population 0
  wiggle-angle 45
  look-ahead 1
  sniff-threshold 0.9
  sniff-angle 45
  chemical-drop 3
  diffuse-share 1
  evaporation-rate 0.95
  cluster-threshold 25
  cluster-radius 10
  learning-turtles 50
  ticks-per-episode 500
  episodes 1500
  learning-rate 0.9
  discount-factor 0.9
  reward 100
  penalty -1
  e-greedy 0.5 0.9
ACTION SPACE: move-toward-chemical random-walk move-and-drop walk-and-drop drop-chemical
OBSERVATION SPACE: chemical-here in-cluster
REWARD: rewardFunc8
--------------------------------------------------------------------------------
Episode, Tick, Avg cluster size X tick, Avg reward X episode, move-toward-chemical, random-walk, move-and-drop, walk-and-drop, drop-chemical
1, 99, 0, 0, 878, 1076, 903, 1121, 1022
1, 199, 0, 0, 1934, 2059, 1922, 2163, 1922
1, 299, 0, 0, 2948, 3046, 2989, 3069, 2948
1, 399, 0, 0, 3953, 4114, 4023, 4034, 3876
1, 499, 26, 0, 4929, 5145, 5007, 5086, 4833
2, 599, 0, 0, 960, 970, 1023, 993, 1054
2, 699, 0, 0, 1970, 1898, 1988, 2118, 2026
2, 799, 0, 0, 2946, 2898, 2909, 3187, 3060
2, 899, 26, 0, 3949, 3894, 3928, 4207, 4022
2, 999, 0, 0, 4962, 4922, 4910, 5201, 5005
3, 1099, 0, 0, 931, 1000, 1002, 1019, 1048
3, 1199, 0, 0, 1911, 1977, 2101, 1966, 2045
3, 1299, 0, 0, 2920, 2989, 3161, 2946, 2984
3, 1399, 0, 0, 3857, 3951, 4119, 3980, 4093
3, 1499, 0, 0, 4856, 5033, 5020, 4974, 5117
4, 1599, 0, 0, 1003, 1058, 965, 947, 1027
4, 1699, 27, 0, 1984, 1997, 2038, 1882, 2099
4, 1799, 30.59259259259259, 0, 2919, 3022, 3078, 2780, 3201
4, 1899, 36.05128205128205, 0, 3901, 3988, 4037, 3785, 4289
4, 1999, 33.9375, 0, 4844, 5046, 4982, 4769, 5359
5, 2099, 0, 0, 1072, 1000, 1016, 966, 946
5, 2199, 0, 0, 2004, 1949, 2117, 1929, 2001
5, 2299, 0, 0, 3068, 2937, 3149, 2773, 3073
5, 2399, 0, 0, 4027, 3954, 4179, 3761, 4079
5, 2499, 0, 0, 5001, 4898, 5098, 4749, 5254
6, 2599, 0, 0, 969, 1027, 991, 1024, 989
6, 2699, 0, 0, 1943, 1956, 1953, 2036, 2112
6, 2799, 0, 0, 2792, 2860, 2897, 3132, 3319
6, 2899, 0, 0, 3778, 3887, 3858, 4154, 4323
6, 2999, 0, 0, 4785, 4882, 4843, 5148, 5342
7, 3099, 0, 0, 1078, 940, 971, 1028, 983
