--------------------------------------------------------------------------------
TIMESTAMP: 09:01:52.907 AM 25-Jun-2022
PARAMS:
  population 0
  wiggle-angle 45
  look-ahead 1
  sniff-threshold 0.9
  sniff-angle 45
  chemical-drop 3
  diffuse-share 1
  evaporation-rate 0.95
  cluster-threshold 25
  cluster-radius 10
  learning-turtles 50
  ticks-per-episode 500
  episodes 1500
  learning-rate 0.9
  discount-factor 0.9
  reward 100
  penalty -1
  e-greedy 0.5 0.9
ACTION SPACE: move-toward-chemical random-walk drop-chemical
OBSERVATION SPACE: chemical-here in-cluster
REWARD: rewardFunc6
--------------------------------------------------------------------------------
Episode, Tick, Avg cluster size X tick, Avg reward X episode, move-toward-chemical, random-walk, drop-chemical
1, 99, 0, 0, 1723, 1529, 1748
1, 199, 0, 0, 3399, 3214, 3387
1, 299, 28.416666666666668, 0, 4947, 4941, 5112
1, 399, 27.733333333333334, 0, 6614, 6675, 6711
1, 499, 31.857142857142858, 0, 8336, 8255, 8409
2, 599, 0, 0, 1612, 1728, 1660
2, 699, 0, 0, 3184, 3419, 3397
2, 799, 0, 0, 4862, 5177, 4961
2, 899, 26, 0, 6521, 6890, 6589
2, 999, 28, 0, 8087, 8527, 8386
3, 1099, 0, 0, 1636, 1630, 1734
3, 1199, 0, 0, 3256, 3299, 3445
3, 1299, 29.842105263157894, 0, 4861, 4913, 5226
3, 1399, 37.333333333333336, 0, 6485, 6412, 7103
3, 1499, 30.727272727272727, 0, 8079, 8055, 8866
4, 1599, 0, 0, 1636, 1633, 1731
4, 1699, 28.8, 0, 3277, 3244, 3479
4, 1799, 28.75, 0, 4858, 4798, 5344
4, 1899, 35.666666666666664, 0, 6523, 6259, 7218
4, 1999, 32.75, 0, 8221, 7825, 8954
5, 2099, 0, 0, 1661, 1610, 1729
5, 2199, 0, 0, 3347, 3161, 3492
5, 2299, 0, 0, 5003, 4785, 5212
5, 2399, 0, 0, 6607, 6538, 6855
5, 2499, 0, 0, 8258, 8192, 8550
6, 2599, 0, 0, 1612, 1759, 1629
6, 2699, 0, 0, 3234, 3349, 3417
6, 2799, 27, 0, 4811, 4888, 5301
6, 2899, 0, 0, 6548, 6428, 7024
6, 2999, 26, 0, 8132, 8041, 8827
7, 3099, 0, 0, 1680, 1645, 1675
7, 3199, 0, 0, 3310, 3239, 3451
7, 3299, 0, 0, 5032, 4898, 5070
7, 3399, 0, 0, 6714, 6473, 6813
7, 3499, 28.333333333333332, 0, 8444, 8066, 8490
8, 3599, 0, 0, 1658, 1601, 1741
8, 3699, 0, 0, 3223, 3360, 3417
8, 3799, 0, 0, 4893, 4779, 5328
8, 3899, 27, 0, 6483, 6445, 7072
8, 3999, 31.142857142857142, 0, 8072, 7985, 8943
9, 4099, 0, 0, 1716, 1578, 1706
9, 4199, 0, 0, 3440, 3210, 3350
9, 4299, 28.80952380952381, 0, 5142, 4790, 5068
9, 4399, 32.25806451612903, 0, 6784, 6332, 6884
9, 4499, 29.90909090909091, 0, 8503, 7826, 8671
10, 4599, 0, 0, 1746, 1611, 1643
10, 4699, 26, 0, 3303, 3016, 3681
10, 4799, 0, 0, 4951, 4547, 5502
10, 4899, 26, 0, 6661, 6105, 7234
10, 4999, 28.333333333333332, 0, 8393, 7506, 9101
11, 5099, 0, 0, 1759, 1691, 1550
11, 5199, 0, 0, 3484, 3220, 3296
11, 5299, 0, 0, 5172, 4694, 5134
11, 5399, 0, 0, 6694, 6089, 7217
11, 5499, 0, 0, 8376, 7595, 9029
12, 5599, 0, 0, 1658, 1526, 1816
12, 5699, 0, 0, 3353, 2874, 3773
12, 5799, 26.714285714285715, 0, 5092, 4399, 5509
12, 5899, 27.75, 0, 6617, 6036, 7347
12, 5999, 0, 0, 8380, 7433, 9187
