--------------------------------------------------------------------------------
TIMESTAMP: 09:16:04.164 PM 26-Jun-2022
PARAMS:
  population 0
  wiggle-angle 45
  look-ahead 1
  sniff-threshold 0.9
  sniff-angle 45
  chemical-drop 3
  diffuse-share 1
  evaporation-rate 0.95
  cluster-threshold 25
  cluster-radius 10
  learning-turtles 50
  ticks-per-episode 500
  episodes 1500
  learning-rate 0.9
  discount-factor 0.1
  reward 100
  penalty -1
  e-greedy 0.5 0.9
ACTION SPACE: move-toward-chemical random-walk drop-chemical
OBSERVATION SPACE: chemical-here in-cluster
REWARD: rewardFunc8
--------------------------------------------------------------------------------
Episode, Tick, Avg cluster size X tick, Avg reward X episode, move-toward-chemical, random-walk, drop-chemical
24, 11799, 0, 0, 4270, 3913, 6817
24, 11899, 0, 0, 5763, 5111, 9126
24, 11999, 0, 0, 7382, 6102, 11516
25, 12099, 0, 0, 1444, 1096, 2460
25, 12199, 0, 0, 2900, 2477, 4623
25, 12299, 0, 0, 4268, 3568, 7164
25, 12399, 0, 0, 5749, 4509, 9742
25, 12499, 0, 0, 7274, 5687, 12039
26, 12599, 0, 0, 1820, 1115, 2065
26, 12699, 0, 0, 3567, 2071, 4362
26, 12799, 0, 0, 5292, 3042, 6666
26, 12899, 0, 0, 6733, 4051, 9216
26, 12999, 0, 0, 8023, 5221, 11756
27, 13099, 0, 0, 1649, 1147, 2204
27, 13199, 0, 0, 2838, 2358, 4804
27, 13299, 0, 0, 4290, 3491, 7219
27, 13399, 0, 0, 5603, 4415, 9982
27, 13499, 0, 0, 7077, 5625, 12298
28, 13599, 0, 0, 1556, 1563, 1881
28, 13699, 0, 0, 3071, 2788, 4141
28, 13799, 0, 0, 4403, 3944, 6653
28, 13899, 0, 0, 5685, 5060, 9255
28, 13999, 28, 0, 6954, 6109, 11937
29, 14099, 0, 0, 1328, 1355, 2317
29, 14199, 0, 0, 2494, 2017, 5489
29, 14299, 0, 0, 3907, 2757, 8336
29, 14399, 0, 0, 5266, 3482, 11252
29, 14499, 0, 0, 6528, 4385, 14087
30, 14599, 0, 0, 1684, 944, 2372
30, 14699, 0, 0, 2797, 1712, 5491
