--------------------------------------------------------------------------------
TIMESTAMP: 07:08:42.403 AM 24-Jun-2022
PARAMS:
  population 0
  wiggle-angle 45
  look-ahead 1
  sniff-threshold 0.9
  sniff-angle 45
  chemical-drop 3
  diffuse-share 1
  evaporation-rate 0.95
  cluster-threshold 25
  cluster-radius 10
  learning-turtles 50
  ticks-per-episode 500
  episodes 1500
  learning-rate 0.9
  discount-factor 0.9
  reward 100
  penalty -1
  e-greedy 0.5 0.9
ACTION SPACE: move-toward-chemical random-walk drop-chemical
OBSERVATION SPACE: chemical-here in-cluster
REWARD: rewardFunc8
--------------------------------------------------------------------------------
Episode, Tick, Avg cluster size X tick, Avg reward X episode, move-toward-chemical, random-walk, drop-chemical
1, 99, 0, 0, 1694, 1736, 1570
1, 199, 0, 0, 3377, 3345, 3278
1, 299, 0, 0, 5045, 5008, 4947
1, 399, 0, 0, 6657, 6703, 6640
1, 499, 0, 0, 8307, 8424, 8269
2, 599, 0, 0, 1594, 1669, 1737
2, 699, 0, 0, 3253, 3284, 3463
2, 799, 0, 0, 4875, 4902, 5223
2, 899, 0, 0, 6463, 6556, 6981
2, 999, 0, 0, 8104, 8233, 8663
3, 1099, 0, 0, 1648, 1653, 1699
3, 1199, 0, 0, 3272, 3306, 3422
3, 1299, 26.615384615384617, 0, 4961, 4991, 5048
3, 1399, 28.833333333333332, 0, 6590, 6588, 6822
3, 1499, 27, 0, 8269, 8252, 8479
4, 1599, 0, 0, 1653, 1637, 1710
4, 1699, 0, 0, 3320, 3233, 3447
4, 1799, 0, 0, 4898, 4953, 5149
4, 1899, 0, 0, 6374, 6702, 6924
4, 1999, 0, 0, 7992, 8393, 8615
5, 2099, 0, 0, 1620, 1573, 1807
5, 2199, 26.25, 0, 3267, 3222, 3511
5, 2299, 26, 0, 4914, 4807, 5279
5, 2399, 26.625, 0, 6472, 6460, 7068
5, 2499, 28.25, 0, 8027, 8146, 8827
6, 2599, 0, 0, 1628, 1653, 1719
6, 2699, 0, 0, 3294, 3350, 3356
6, 2799, 0, 0, 4770, 5034, 5196
6, 2899, 0, 0, 6488, 6627, 6885
6, 2999, 0, 0, 8156, 8202, 8642
7, 3099, 0, 0, 1636, 1582, 1782
7, 3199, 0, 0, 3221, 3197, 3582
7, 3299, 0, 0, 4952, 4711, 5337
7, 3399, 0, 0, 6642, 6308, 7050
7, 3499, 0, 0, 8253, 7951, 8796
8, 3599, 0, 0, 1589, 1587, 1824
8, 3699, 0, 0, 3158, 3196, 3646
8, 3799, 0, 0, 4733, 4937, 5330
8, 3899, 0, 0, 6280, 6601, 7119
8, 3999, 0, 0, 7933, 8247, 8820
9, 4099, 0, 0, 1612, 1746, 1642
9, 4199, 0, 0, 3323, 3240, 3437
9, 4299, 0, 0, 4950, 4747, 5303
9, 4399, 0, 0, 6681, 6270, 7049
9, 4499, 0, 0, 8263, 7809, 8928
10, 4599, 0, 0, 1629, 1641, 1730
10, 4699, 0, 0, 3342, 3076, 3582
10, 4799, 0, 0, 4967, 4682, 5351
10, 4899, 0, 0, 6546, 6314, 7140
10, 4999, 0, 0, 8180, 7823, 8997
11, 5099, 0, 0, 1856, 1483, 1661
11, 5199, 0, 0, 3452, 3024, 3524
11, 5299, 0, 0, 5207, 4594, 5199
11, 5399, 0, 0, 6907, 6234, 6859
11, 5499, 0, 0, 8630, 7741, 8629
12, 5599, 0, 0, 1821, 1482, 1697
12, 5699, 0, 0, 3350, 3089, 3561
12, 5799, 28.57894736842105, 0, 4790, 4763, 5447
12, 5899, 26.6, 0, 6428, 6258, 7314
12, 5999, 27.333333333333332, 0, 8239, 7591, 9170
13, 6099, 0, 0, 1658, 1438, 1904
13, 6199, 0, 0, 3352, 2983, 3665
13, 6299, 0, 0, 4882, 4594, 5524
13, 6399, 0, 0, 6261, 5960, 7779
13, 6499, 0, 0, 7769, 7347, 9884
14, 6599, 0, 0, 1746, 1459, 1795
14, 6699, 0, 0, 3319, 3087, 3594
14, 6799, 0, 0, 5011, 4648, 5341
14, 6899, 0, 0, 6586, 6238, 7176
14, 6999, 0, 0, 7990, 7529, 9481
15, 7099, 0, 0, 1693, 1517, 1790
15, 7199, 0, 0, 3300, 3174, 3526
15, 7299, 28.333333333333332, 0, 4979, 4642, 5379
15, 7399, 28.789473684210527, 0, 6370, 6001, 7629
15, 7499, 27.8, 0, 7824, 7451, 9725
16, 7599, 0, 0, 1819, 1446, 1735
16, 7699, 0, 0, 3420, 2874, 3706
16, 7799, 26.166666666666668, 0, 4761, 4057, 6182
16, 7899, 26.571428571428573, 0, 6233, 5404, 8363
16, 7999, 0, 0, 8089, 6840, 10071
17, 8099, 0, 0, 1808, 1510, 1682
17, 8199, 0, 0, 3675, 2824, 3501
17, 8299, 0, 0, 5379, 4310, 5311
17, 8399, 0, 0, 6961, 6048, 6991
17, 8499, 0, 0, 8794, 7500, 8706
18, 8599, 0, 0, 1621, 1769, 1610
18, 8699, 0, 0, 3218, 3236, 3546
18, 8799, 0, 0, 5000, 4508, 5492
18, 8899, 30.74074074074074, 0, 6516, 5800, 7684
18, 8999, 31.1, 0, 8044, 6984, 9972
19, 9099, 0, 0, 1935, 1474, 1591
19, 9199, 0, 0, 3442, 3089, 3469
19, 9299, 0, 0, 5009, 4351, 5640
19, 9399, 0, 0, 6725, 5492, 7783
19, 9499, 0, 0, 8485, 6847, 9668
20, 9599, 0, 0, 1701, 1414, 1885
20, 9699, 0, 0, 3119, 2786, 4095
20, 9799, 27.41176470588235, 0, 4827, 4140, 6033
20, 9899, 30.166666666666668, 0, 6358, 5703, 7939
20, 9999, 28, 0, 7924, 7237, 9839
21, 10099, 0, 0, 1737, 1399, 1864
21, 10199, 26, 0, 3221, 2686, 4093
21, 10299, 26.333333333333332, 0, 4817, 3973, 6210
21, 10399, 28.642857142857142, 0, 6228, 5318, 8454
21, 10499, 0, 0, 7933, 6416, 10651
22, 10599, 0, 0, 2017, 1299, 1684
22, 10699, 0, 0, 3424, 2599, 3977
22, 10799, 0, 0, 4687, 3870, 6443
22, 10899, 26.5, 0, 6063, 5117, 8820
22, 10999, 0, 0, 7653, 6374, 10973
23, 11099, 0, 0, 1906, 1369, 1725
23, 11199, 28.75, 0, 3304, 2546, 4150
23, 11299, 26.6, 0, 5002, 3985, 6013
23, 11399, 31.22222222222222, 0, 6685, 5242, 8073
23, 11499, 26, 0, 8153, 6481, 10366
24, 11599, 0, 0, 1777, 1334, 1889
24, 11699, 29, 0, 3504, 2425, 4071
24, 11799, 28, 0, 4982, 3706, 6312
24, 11899, 28.36842105263158, 0, 6708, 4987, 8305
24, 11999, 27.2, 0, 8556, 6175, 10269
25, 12099, 0, 0, 2254, 1206, 1540
25, 12199, 0, 0, 3673, 2583, 3744
25, 12299, 26, 0, 5128, 3963, 5909
25, 12399, 26.333333333333332, 0, 6563, 5199, 8238
25, 12499, 26, 0, 8018, 6089, 10893
26, 12599, 0, 0, 1884, 1451, 1665
26, 12699, 0, 0, 3594, 2815, 3591
26, 12799, 0, 0, 5248, 4135, 5617
26, 12899, 0, 0, 6683, 5556, 7761
26, 12999, 0, 0, 8120, 6995, 9885
